{'action': 'debit', 'paydrc_reference': 'PDM0N8Z05Zd6296lovv22YFs', 'status': 'Successful', 'switch_reference': 'FP03I022vm05O29', 'telco_reference': 'MP220529.1300.C93387', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDUOT8905I0T29ivdx5222cv', 'status': 'Failed', 'switch_reference': 'FP0395226b05p29', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDUHaTT05sZO29E5J1q22LOt', 'status': 'Failed', 'switch_reference': 'FP03RL22Zr05i29', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDgouGA05vLF29MGpGq22my0', 'status': 'Failed', 'switch_reference': 'FP03GV22dY05629', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDme9jA05DxH290ArqX22RCA', 'status': 'Failed', 'switch_reference': 'FP03oG22bL05w29', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDZBgYW05g9q29TtJVS22Aqy', 'status': 'Failed', 'switch_reference': 'FP03At22hG05F29', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDNqDdO05YOY29ATJQP22SnF', 'status': 'Failed', 'switch_reference': 'FP03TG22wz05S29', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDsamxj05KmZ29JjvRr22lgm', 'status': 'Failed', 'switch_reference': 'FP03hr22r505l29', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PD9ZmTi05Be429WxtSU22ESC', 'status': 'Failed', 'switch_reference': 'FP033T22eA05R29', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDad6IR05sM029lBkrz22UFs', 'status': 'Failed', 'switch_reference': 'FP03SD22Z705029', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDIKIr705yIh29lNIzM22Q15', 'status': 'Failed', 'switch_reference': 'FP03x9223t05u29', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDSi4zy051Yh29XhOfd22uYG', 'status': 'Failed', 'switch_reference': 'FP03Ho22xq05529', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDFKpYz0551s292PJIz22pMZ', 'status': 'Failed', 'switch_reference': 'FP03CP22Vt05x29', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDSlh2x053OH29OGr5H2209Q', 'status': 'Failed', 'switch_reference': 'FP03e722t405829', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDwA4Vs051e729M3Wey22o4i', 'status': 'Failed', 'switch_reference': 'FP03l422Yo05Z29', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PD0wOzk05MgI28vQ56c22GOp', 'status': 'Successful', 'switch_reference': 'FP03cu22yK05C28', 'telco_reference': 'MP220529.0059.C89170', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDgQAXb05ZCL28ANc8i22qaU', 'status': 'Failed', 'switch_reference': 'FP03PP22Nd05S28', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDI5Mp105tee2872lXe22hTh', 'status': 'Failed', 'switch_reference': 'FP03n422U205k28', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDe7xag0533F28h5MGG22fwS', 'status': 'Failed', 'switch_reference': 'FP03T122AC05p28', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDxDKme05sBz28QJPP122JbB', 'status': 'Failed', 'switch_reference': 'FP03Mx226n05n28', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDkBb9e05e0U28mo9Ss22PC2', 'status': 'Failed', 'switch_reference': 'FP03Dq221K05O28', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDhiXae054Rn28Lg5Gi22Q77', 'status': 'Failed', 'switch_reference': 'FP03WC22Uc05M28', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDwir2S05pBT28kj2G422MUs', 'status': 'Failed', 'switch_reference': 'FP03kS22GX05628', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDriA3v05HNB28TmI6T22j4T', 'status': 'Failed', 'switch_reference': 'FP03VM22mU05i28', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDDlTba05pYL28l11PF22nud', 'status': 'Failed', 'switch_reference': 'FP03O722cj05m28', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDsZ2GK05MiQ28yI3Ub223yn', 'status': 'Failed', 'switch_reference': 'FP03T922xa05S28', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDuxBqH054KX28nyieX22PmE', 'status': 'Failed', 'switch_reference': 'FP03jV22tk05w28', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDrTpWO05dj728gARwH22dCW', 'status': 'Failed', 'switch_reference': 'FP036o227e05A28', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDSI8Eo05UQ628WI0jI22a48', 'status': 'Failed', 'switch_reference': 'FP033e22Yv05928', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDsDU6v05d1c27RR3nt223s3', 'status': 'Successful', 'switch_reference': 'FP03QK22Vr05K27', 'telco_reference': 'MP220528.0055.D65066', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDH2Ewp05vxk27AYnSt222d2', 'status': 'Successful', 'switch_reference': 'FP03kD22i105w27', 'telco_reference': 'MP220528.0055.C64707', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDKi54o05dq827u9MEf22XUK', 'status': 'Failed', 'switch_reference': 'FP03g522rL05327', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDITIPr05ZTc27evmqW22NGz', 'status': 'Failed', 'switch_reference': 'FP03Qp22xW05727', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDgGjLg05LsZ271ng1522qOK', 'status': 'Failed', 'switch_reference': 'FP03PP22i705227', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDlcnsY05sJx267HEZN22nvP', 'status': 'Failed', 'switch_reference': 'FP03u122d305d26', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDIiKqX05Gvp26tFTTP225Od', 'status': 'Failed', 'switch_reference': 'FP03NI22xD05f26', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDpx6e205cP726QfZVH2236p', 'status': 'Failed', 'switch_reference': 'FP03AT22aY05N26', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDNfHGX05tsP25fltik220Ic', 'status': 'Failed', 'switch_reference': 'FP03RG222i05N25', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDcX6Ew05z8325PpIfe22Fsr', 'status': 'Failed', 'switch_reference': 'FP03FU22dU05X25', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDZfcA205S8h23kIfLB22J43', 'status': 'Failed', 'switch_reference': 'FP03dk225d05d23', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDYaFKZ06Uey016Rhr322jul', 'status': 'Successful', 'switch_reference': 'FP03yX22Dp06y01', 'telco_reference': 'MP220601.1300.D37017', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDQ03bP06E5I01J4Vnf22yvF', 'status': 'Successful', 'switch_reference': 'FP03KA22nm06W01', 'telco_reference': 'MP220601.1300.B37425', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDjGijd06aU501fXrWL22I96', 'status': 'Failed', 'switch_reference': 'FP03v322eB06w01', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDcCE7V06aB101KkHzE22JHe', 'status': 'Failed', 'switch_reference': 'FP03lD225506Q01', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PD7mhyv06KMj01azfY322Jom', 'status': 'Failed', 'switch_reference': 'FP03zL225f06A01', 'telco_reference': 'MP220601.1259.D36993', 'telco_status_description': 'Dear customer,you have insuffient funds. Please call 1211 for help.Thank you.'}
{'action': 'debit', 'paydrc_reference': 'PDfwKZd066oy01J3Imj22ao8', 'status': 'Successful', 'switch_reference': 'FP03sC22CA06N01', 'telco_reference': 'MP220601.1258.B37388', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDmPI7W06Xy70173nmQ226Db', 'status': 'Successful', 'switch_reference': 'FP03Dl22Mq06R01', 'telco_reference': 'MP220601.1258.B37376', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDxLr6v06GJy01gBUbi22NPL', 'status': 'Successful', 'switch_reference': 'FP03JT226E06b01', 'telco_reference': 'MP220601.1257.C37591', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDVIede06O9901MUwFN224pe', 'status': 'Successful', 'switch_reference': 'FP03dn22Sd06D01', 'telco_reference': 'MP220601.1256.C37568', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDWXcMB06gqX01l0Nm722TER', 'status': 'Successful', 'switch_reference': 'FP03RL22hz06X01', 'telco_reference': 'MP220601.1255.D36926', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDoMoxO06hx6014YqGR22qwU', 'status': 'Successful', 'switch_reference': 'FP03xm22RU06w01', 'telco_reference': 'MP220601.1255.B37325', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDG1dOv06xmu01TTdoF22ICR', 'status': 'Failed', 'switch_reference': 'FP03FB22cd06s01', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDitgxB06yVq01zW7Su22YI2', 'status': 'Failed', 'switch_reference': 'FP03jm22ei06t01', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDBfngQ06HUf01KS4a022Zjq', 'status': 'Failed', 'switch_reference': 'FP03tt22Ff06W01', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PD2f4v6069jC01faQHg22uhV', 'status': 'Failed', 'switch_reference': 'FP03HS22k206y01', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDZpj0N05P4G31JF2D222aPr', 'status': 'Successful', 'switch_reference': 'FP03MG220J05Y31', 'telco_reference': 'MP220601.0058.C29166', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PD2UtMC05FM831cFlUl22VgU', 'status': 'Failed', 'switch_reference': 'FP03Xv22na05B31', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDeHcz306F3008UPnSO22oyw', 'status': 'Successful', 'switch_reference': 'FP03lP22NF06E08', 'telco_reference': 'MP220608.1259.D10725', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDBbDms06Z7j08BDteC22Axv', 'status': 'Failed', 'switch_reference': 'FP03Lz22fi06K08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDdIZf606el4086qTYZ22gBz', 'status': 'Successful', 'switch_reference': 'FP03DZ22WK06D08', 'telco_reference': 'MP220608.1257.B10695', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDGhiDi06azt08b2yXG227jM', 'status': 'Successful', 'switch_reference': 'FP03of223j06208', 'telco_reference': 'MP220608.1257.D10676', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDxNeIW06FBC08sq5jm2277f', 'status': 'Failed', 'switch_reference': 'FP03mD22D906R08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PD5kjRN069eA08UYru822P3B', 'status': 'Successful', 'switch_reference': 'FP03Tm22Kd06E08', 'telco_reference': 'MP220608.1256.C10458', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDfOwn606eCQ08oDI4U22Yld', 'status': 'Failed', 'switch_reference': 'FP03gf22Cb06C08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDUg6wE065Np08VBU0g220vn', 'status': 'Failed', 'switch_reference': 'FP03Od22vP06208', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDk5Pg406b0608qFRMQ22dGh', 'status': 'Failed', 'switch_reference': 'FP03ey22Mc06Q08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDshsra06E9008aKxPv22TIu', 'status': 'Failed', 'switch_reference': 'FP03pV22Tg06g08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDCj9tt06qcx08upqLj22dRR', 'status': 'Failed', 'switch_reference': 'FP03Wk22Ru06208', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDnyoDt06LJZ08eurjQ227Dv', 'status': 'Failed', 'switch_reference': 'FP035W22FI06508', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDwctJe061Lx08Sp5ox22AcX', 'status': 'Failed', 'switch_reference': 'FP03a0229l06708', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDwRH1A06dXr083wSQZ224jF', 'status': 'Failed', 'switch_reference': 'FP03FK22nv06V08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDsTh5A06FyI088hWjI22cWC', 'status': 'Failed', 'switch_reference': 'FP03Y722rn06g08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PD32vL4062AM08o9Qvn22EE0', 'status': 'Failed', 'switch_reference': 'FP03Cy22zZ06M08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDsipkR060XB08Jfke322hxP', 'status': 'Failed', 'switch_reference': 'FP03HT22DW06a08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDkqC3T06DBm08NgOKz22h98', 'status': 'Failed', 'switch_reference': 'FP03Os22vo06d08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDAhaAb06Ji908Upu7C22ffe', 'status': 'Failed', 'switch_reference': 'FP036T22AW06h08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDQ7F6h061DB08RI2O922syv', 'status': 'Failed', 'switch_reference': 'FP039T224706c08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDCeY4x06HB808Sgsup22abz', 'status': 'Failed', 'switch_reference': 'FP032S22No06208', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDOHHtu06aHj08Xnred22qGB', 'status': 'Failed', 'switch_reference': 'FP03jg22XQ06A08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDj4pOb06HIQ08tAnUQ22fwA', 'status': 'Failed', 'switch_reference': 'FP03FO226G06V08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDCV2Hk065S508dkZfm22b1i', 'status': 'Failed', 'switch_reference': 'FP03Xz22eY06o08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDVOe5l06tCj08v1F5L22ctP', 'status': 'Failed', 'switch_reference': 'FP033t22os06P08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDdzTB606F0v08Ha4EN22xSI', 'status': 'Failed', 'switch_reference': 'FP03Qr22De06E08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDEQud1065gt08mk3sb22svN', 'status': 'Failed', 'switch_reference': 'FP03QK225z06u08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDrlzlQ06S1I08IAlCL22Ezu', 'status': 'Failed', 'switch_reference': 'FP03ZI22X006N08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PD1KzCe06Ta608x23Pi22Lvb', 'status': 'Failed', 'switch_reference': 'FP03kI22eu06x08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDBDtCE06MnM08tF7E722bCq', 'status': 'Failed', 'switch_reference': 'FP03G622ZL06a08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDJ9AoG06Jt208tgrVH22qoe', 'status': 'Failed', 'switch_reference': 'FP03bt22Dd06x08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PD2ZYta06kjP08uSeZC22Qgw', 'status': 'Failed', 'switch_reference': 'FP03Ij22qn06J08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDK5nre069fR08g8lSH22vpY', 'status': 'Failed', 'switch_reference': 'FP03ia22F106A08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDvbHiT06nEn08Zuetb22mft', 'status': 'Failed', 'switch_reference': 'FP03FH22uF06R08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDWWxXI066Qn08QQzjV22gDo', 'status': 'Failed', 'switch_reference': 'FP034r22vd06808', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PD2q0Mb064Mq08eupa7225Ek', 'status': 'Failed', 'switch_reference': 'FP03P4223n06W08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDjoXYD065tw08CC42C229aa', 'status': 'Failed', 'switch_reference': 'FP03z722uU06k08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDSuZGI06AqC08t7DZ122B5P', 'status': 'Failed', 'switch_reference': 'FP03lN22RW06E08', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDwu0Vo06Y8K07wDzWQ225eT', 'status': 'Failed', 'switch_reference': 'FP03h322JJ06m07', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDBNdyZ066g107imz2y22cVv', 'status': 'Failed', 'switch_reference': 'FP03bC225H06N07', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDy7YWd06lmv07ss1tZ22wim', 'status': 'Failed', 'switch_reference': 'FP03k222QR06Z07', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PD65qdA06F2T07cqgqQ22PPP', 'status': 'Failed', 'switch_reference': 'FP03R422zX06R07', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDdycWL06KOv074kdjl22Mhk', 'status': 'Failed', 'switch_reference': 'FP03Dk22yV06207', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDrSTh706FSq07Dy9eL225ky', 'status': 'Failed', 'switch_reference': 'FP03Sb22xE06307', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDU2ezT06dxl06Cmdsn22WAV', 'status': 'Successful', 'switch_reference': 'FP03sp22nf06006', 'telco_reference': 'MP220607.0100.C73523', 'telco_status_description': 'Success'}
{'action': 'debit', 'paydrc_reference': 'PDid36v06CSr06GEgMD228wv', 'status': 'Failed', 'switch_reference': 'FP037u222Q06406', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDSR1Cc06S8706wKdXG222kC', 'status': 'Failed', 'switch_reference': 'FP03QU227N06y06', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDPMZpc06iH205NwVJl225oP', 'status': 'Failed', 'switch_reference': 'FP03Sz22pN06S05', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDtar4C06MGU05sDh6D2242R', 'status': 'Failed', 'switch_reference': 'FP038H22HP06J05', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDy7Owf06cBT03FOq9p22DHF', 'status': 'Failed', 'switch_reference': 'FP03DQ22Mb06403', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDBFy6T06B64015KWbA22C5E', 'status': 'Failed', 'switch_reference': 'FP030e22Dn06x01', 'telco_reference': 'null', 'telco_status_description': 'Transaction id is invalid'}
{'action': 'debit', 'paydrc_reference': 'PDSqSKZ06kIz159kU1M22Eib', 'status': 'Successful', 'switch_reference': 'FP03Az221206515', 'telco_reference': 'MP220615.1258.C19822', 'telco_status_description': 'Success'}
